date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,crime_date,crime_count
2016-04-17,2016,04,17,62.5,39.5,1027.5,10.0,5.0,13.0,999.9,79.0,41.0,0.0,999.9,0,2016-04-17,709
2016-04-25,2016,04,25,69.0,52.0,1006.7,10.0,10.7,15.9,29.9,81.0,57.9,0.0,999.9,0,2016-04-25,758
2016-04-18,2016,04,18,65.7,39.7,1025.6,10.0,3.3,11.1,999.9,82.9,45.0,0.0,999.9,0,2016-04-18,738
2016-04-26,2016,04,26,53.4,46.0,1008.1,7.3,11.1,17.1,22.9,82.9,42.1,0.08,999.9,0,2016-04-26,693
2016-04-19,2016,04,19,54.0,40.6,1023.1,10.0,9.2,14.0,17.1,82.9,46.0,0.0,999.9,0,2016-04-19,703
2016-04-03,2016,04,03,40.1,21.6,1012.5,10.0,13.4,26.0,36.9,9999.9,27.0,0.02,999.9,0,2016-04-03,707
2016-04-04,2016,04,04,40.6,28.5,1013.4,9.6,14.1,22.9,35.9,9999.9,30.2,0.0,999.9,0,2016-04-04,661
2016-05-01,2016,05,01,45.2,43.6,1015.0,3.5,11.8,15.0,24.1,48.9,42.1,0.63,999.9,0,2016-05-01,825
2016-05-15,2016,05,15,45.0,28.4,1019.0,10.0,8.5,15.9,25.1,55.0,35.1,0.0,999.9,0,2016-05-15,741
2016-05-02,2016,05,02,49.3,38.7,1017.0,9.4,10.7,15.0,21.0,59.0,42.1,0.49,999.9,0,2016-05-02,757
2016-05-05,2016,05,05,48.8,36.7,1014.0,10.0,11.4,19.0,28.0,61.0,41.0,0.0,999.9,0,2016-05-05,701
2016-05-10,2016,05,10,54.2,52.9,1011.9,2.9,9.5,15.9,22.0,63.0,50.0,0.88,999.9,0,2016-05-10,713
2016-05-18,2016,05,18,52.0,36.4,1023.6,10.0,7.1,13.0,999.9,64.9,41.0,0.0,999.9,0,2016-05-18,801
2016-05-14,2016,05,14,46.3,37.0,1014.4,9.1,12.0,19.0,32.1,66.0,41.0,0.68,999.9,0,2016-05-14,723
2016-05-04,2016,05,04,52.3,40.3,1007.4,9.5,11.1,21.0,28.0,66.9,39.9,0.4,999.9,0,2016-05-04,683
2016-05-03,2016,05,03,52.8,36.0,1014.0,10.0,6.1,14.0,19.0,66.9,39.9,0.0,999.9,0,2016-05-03,735
2016-05-11,2016,05,11,58.2,55.3,1015.2,3.7,5.7,8.9,999.9,69.1,51.1,0.5,999.9,1,2016-05-11,758
2016-05-19,2016,05,19,55.2,35.1,1022.8,10.0,3.9,9.9,14.0,69.1,39.0,0.0,999.9,0,2016-05-19,766
2016-05-20,2016,05,20,58.5,37.3,1021.1,10.0,5.6,11.1,999.9,69.1,39.0,0.0,999.9,0,2016-05-20,805
2016-05-17,2016,05,17,54.3,41.7,1021.8,10.0,9.4,14.0,20.0,70.0,46.0,0.0,999.9,0,2016-05-17,692
2016-05-13,2016,05,13,57.6,44.5,1014.6,9.8,10.1,15.0,21.0,70.0,48.0,0.48,999.9,0,2016-05-13,808
2016-05-16,2016,05,16,55.7,34.6,1019.3,10.0,10.7,15.9,24.1,70.0,35.1,0.0,999.9,0,2016-05-16,782
2016-05-12,2016,05,12,61.2,56.3,1013.3,6.0,7.7,17.1,25.1,70.0,51.1,0.67,999.9,0,2016-05-12,690
2016-05-09,2016,05,09,55.9,43.4,1014.2,10.0,10.1,19.0,25.1,71.1,41.0,0.0,999.9,0,2016-05-09,732
2016-05-08,2016,05,08,55.0,31.3,1012.7,10.0,4.1,11.1,999.9,71.1,41.0,0.01,999.9,0,2016-05-08,730
2016-05-21,2016,05,21,62.5,35.9,1019.2,10.0,8.3,14.0,22.0,75.0,44.1,0.0,999.9,0,2016-05-21,792
